id,name,domain,scale,icon_label,severity,near_term_status,warming_context,primary_causes,effects,interactions,domino_summary,app_card_summary,misinformation_angle,suggested_ui,source_urls
gis_collapse,Greenland Ice Sheet collapse,Cryosphere,Global core,ice sheet,Extreme,Possible at current warming; risk increases with additional warming,Listed among systems possible around current warming in recent reassessments; ice-sheet change unfolds over centuries to millennia once committed.,Surface melting; ice-albedo feedback; ocean/atmosphere warming; black carbon and other regional forcing can worsen melt.,Long-term sea-level rise; coastal displacement; changes in freshwater input to the North Atlantic; ecosystem and infrastructure impacts in coastal regions.,Freshwater input can weaken North Atlantic circulation; albedo loss amplifies warming; sea-level impacts compound storm surge and coastal adaptation pressure.,Ice loss -> darker surface/ocean exposure -> more absorbed heat -> more melting -> sea-level commitment -> coastal displacement and adaptation stress.,"A slow but high-impact domino: once enough ice loss becomes self-sustaining, sea-level rise can be locked in for centuries.","Common misleading claim: ice sheets naturally change, so current loss is not human-linked. Media-literacy prompt: compare short-term variability with long-term mass-balance trends and attribution evidence.","Large ice-card with a crack animation; downstream dominoes: Sea Level, Coastal Cities, Migration, Adaptation Cost.",https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming
wais_collapse,West Antarctic Ice Sheet collapse,Cryosphere,Global core,glacier cliff,Extreme,Possible at current warming; some observations suggest parts may be close to irreversible retreat,Identified as one of the dangerous tipping elements already within reach at current global heating in the 2022 reassessment.,Warming oceans undercut ice shelves; marine ice-sheet instability; grounding-line retreat; loss of buttressing ice shelves.,Long-term multi-meter sea-level contribution; coastal flood risk; displacement of people and infrastructure; adaptation and insurance stress.,Sea-level rise magnifies storm damage; freshwater/ocean changes can affect circulation; adaptation failures can cascade into economic and social stress.,Ocean warming -> ice shelf thinning -> grounding line retreat -> self-sustaining ice loss -> sea-level rise -> coastal disruption.,A hidden-underwater domino: warming ocean water can destabilize ice from below before the damage is obvious from the surface.,Common misleading claim: Antarctic ice gain cancels losses. Prompt users to distinguish regional snowfall variability from marine ice-sheet instability and net mass loss.,"Underwater cross-section icon; animated warm current erodes an ice shelf; downstream dominoes: Sea Level, Coastal Risk, Economic Shock.",https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://www.carbonbrief.org/global-warming-above-1-5c-could-trigger-multiple-tipping-points/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming
east_antarctic_subglacial_basins,East Antarctic subglacial basin ice loss,Cryosphere,Global core,subglacial basin,Extreme,"Lower near-term likelihood than Greenland/West Antarctica, but severe if triggered",Becomes possible at higher warming levels in the 2-3°C/current-policy range in some reassessments.,Warm ocean exposure to marine-based basins; ice-shelf thinning; grounding-line retreat; long-term warming.,Very large long-term sea-level potential; coastal reshaping; high adaptation burden.,Compounds with Greenland/West Antarctic sea-level contributions; strengthens coastal displacement and infrastructure cascades.,Long-term warming -> basin instability -> irreversible retreat -> major sea-level commitment -> coastal system stress.,A low-probability but massive-impact domino for the app’s 'severity vs likelihood' lesson.,"Common confusion: low probability means no risk. Media-literacy prompt: separate likelihood, consequence, and uncertainty.","Locked vault/ice basin symbol; use as a 'high impact, lower immediacy' card with a warning badge.",https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming | https://report-2023.global-tipping-points.org/summary-report/section-1/
abrupt_permafrost_thaw,Abrupt permafrost thaw,Cryosphere / Carbon cycle,Global core,thawing ground,High,Possible at current warming according to reassessments,Widespread abrupt permafrost thaw is identified among systems possible at current warming and more likely as warming rises.,Arctic amplification; ground warming; ice-rich soil collapse; wildfire; hydrological change.,Carbon dioxide and methane release; landscape collapse; damage to northern infrastructure; disruption to Arctic Indigenous communities and ecosystems.,Released greenhouse gases amplify warming; infrastructure damage raises social/economic vulnerability; fires can accelerate thaw.,Arctic warming -> frozen soil thaws -> carbon release -> more warming -> more thaw; local ground collapse damages infrastructure.,A feedback-loop domino: thaw releases carbon that can intensify the warming that caused the thaw.,"Common misleading claim: permafrost carbon is too small to matter. Prompt: look at feedback strength, timescale, and uncertainty rather than only immediate emissions.","Cracked ground + methane bubbles; downstream dominoes: Carbon Feedback, Arctic Infrastructure, Ecosystem Shift.",https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming
permafrost_yedoma_carbon,Permafrost carbon-rich deposit collapse,Cryosphere / Carbon cycle,Global core,carbon release,High,Higher-warming risk; important feedback rather than runaway scenario,Carbon-rich permafrost deposits such as Yedoma are discussed as potentially adding about 0.2-0.4°C over time in high-warming scenarios.,Deep thaw; thermokarst collapse; microbial decomposition of ancient organic carbon; wildfire and hydrology shifts.,Additional warming from greenhouse-gas release; landscape collapse; ecosystem and infrastructure disruption.,Amplifies global warming and can worsen other heat-sensitive tipping systems; interacts with Arctic fire and hydrological change.,Deep thaw -> ancient carbon decomposition -> CO₂/CH₄ release -> warming amplification -> more thaw pressure.,"Use this card to teach feedback strength: serious amplification, but not a Hollywood-style runaway trigger.",Common misleading extremes: either dismissing it entirely or exaggerating it as instant apocalypse. Prompt: distinguish amplification from runaway feedback.,Carbon gauge icon; pair with a 'feedback meter' visualization.,https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://report-2023.global-tipping-points.org/summary-report/section-1/
warm_water_coral_reefs_dieoff,Warm-water coral reef die-off,Biosphere / Ocean,Regional impact with global biodiversity importance,coral reef,Extreme,Likely or already very close at current warming; widespread mortality becomes very likely around/above 1.5°C,Global Tipping Points sources identify warm-water coral reefs as among the closest tipping systems; recent reports describe reefs as crossing/near a thermal tipping point.,Marine heatwaves; ocean warming; acidification; pollution; overfishing; local ecosystem stress.,Loss of reef biodiversity; fisheries decline; reduced coastal protection; tourism and livelihood losses for hundreds of millions of people.,Biodiversity loss affects fisheries and food security; degraded reefs reduce coastal storm protection; ocean acidification compounds heat stress.,Ocean heat -> bleaching -> coral mortality -> habitat loss -> fisheries decline -> livelihood/coastal-protection impacts.,"The fastest and most visual domino: heat stress can rapidly bleach reefs and cascade into biodiversity, food, and coastal risk.",Common misleading claim: reefs always recover after bleaching. Prompt: distinguish isolated bleaching from repeated heat stress and mass mortality.,"Bright coral icon fading to white; downstream dominoes: Biodiversity, Fisheries, Coastal Protection, Livelihoods.",https://global-tipping-points.org/ | https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/
amazon_rainforest_dieback,Amazon rainforest dieback,Biosphere,Global core,rainforest,Extreme,"Not necessarily likely at low warming from climate alone, but risk can occur sooner with deforestation and fire",Identified as a tipping system; Global Tipping Points reports cite evidence of early warning signals and emphasize deforestation as an interacting driver.,Deforestation; warming; drought; fire; reduced rainfall recycling; land-use change.,Biodiversity loss; carbon release; regional warming; rainfall disruption across South America; harm to Indigenous peoples and local livelihoods.,"Forest loss reduces rainfall recycling, increasing drought/fire risk; carbon release adds warming; biodiversity loss reduces ecosystem resilience.",Deforestation + drought -> less rainfall recycling -> more forest stress/fire -> dieback -> carbon release and rainfall disruption.,A classic domino-effect system: forest loss can weaken the rainfall cycle that the forest itself depends on.,"Common misleading claim: CO₂ fertilization will simply make forests thrive. Prompt: compare CO₂ fertilization with heat, drought, fire, and land-use stressors.","Rainforest card with rainfall-loop animation; downstream dominoes: Rainfall, Biodiversity, Carbon, Agriculture.",https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming
boreal_forest_southern_dieback,Boreal forest southern dieback,Biosphere,Global core / regional ecosystem,boreal forest,High,"Possible around 1.5°C in reassessments; risk rises with warming, drought, pests, and fire",Boreal forest southern dieback becomes possible around Paris-range warming in the 2022 reassessment.,Heat stress; drought; pests; wildfire; soil moisture loss; ecosystem disturbance.,Forest mortality; habitat loss; carbon release; smoke/air-quality impacts; community and forestry-sector disruption.,Fire releases carbon and darkens surfaces; forest loss changes albedo and habitat; drought/fire feedbacks reinforce dieback.,Heat/drought -> pests/fire -> forest mortality -> carbon release and habitat loss -> further warming/ecosystem stress.,"A forest-stress domino where heat, insects, drought, and fire can reinforce each other.","Common misleading claim: warming only expands northern forests, so forests benefit overall. Prompt: distinguish northern expansion from southern dieback and biodiversity loss.","Evergreen icon splitting into green-to-brown gradient; downstream dominoes: Fire, Carbon, Habitat, Air Quality.",https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://report-2023.global-tipping-points.org/summary-report/section-1/
boreal_forest_northern_expansion,Boreal forest northern expansion,Biosphere,Global core / regional ecosystem,northward forest line,Medium,Possible around 1.5°C; not simply positive because it disrupts tundra systems and albedo,Boreal northern expansion is discussed alongside boreal southern dieback as a possible tipping dynamic.,Warmer growing seasons; shrub and tree encroachment into tundra; changing snow and soil conditions.,Tundra habitat loss; altered albedo; Indigenous livelihood impacts; complex carbon-cycle consequences.,Darker vegetation can absorb more heat than snow/tundra; interacts with permafrost thaw and wildfire regimes.,Warming -> trees/shrubs move north -> surface darkening -> more heat absorption -> tundra/permafrost stress.,A 'not all green is good' card: tree expansion can still destabilize cold-region systems.,Common misleading claim: more vegetation automatically offsets climate change. Prompt: ask what ecosystem is being replaced and what happens to albedo/permafrost.,"Tree-line advancing over snow; downstream dominoes: Albedo, Tundra Habitat, Permafrost.",https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://report-2023.global-tipping-points.org/summary-report/section-1/
amoc_collapse,Atlantic Meridional Overturning Circulation collapse,Ocean-atmosphere circulation,Global core,ocean conveyor,Extreme,Possible around 1.5°C; larger risk at higher warming; observational warning signals are debated/uncertain,AMOC is one of four ocean/atmosphere circulation tipping points identified by the Global Tipping Points Report.,Freshwater input from ice melt; ocean warming; salinity changes; weakening density-driven circulation.,Major North Atlantic regional cooling; shifts in rainfall and monsoons; sea-level changes; ecosystem and agriculture disruption.,Greenland melt can weaken AMOC; AMOC changes can affect monsoons and regional climate; impacts compound food/water stress.,Ice melt/freshwater -> weaker ocean sinking -> circulation slowdown -> rainfall/temperature shifts -> food/water/ecosystem impacts.,The ocean-conveyor domino: one circulation shift can rearrange regional climate patterns far from the trigger.,Common misleading claim: regional cooling would disprove global warming. Prompt: distinguish global average warming from regional circulation-driven cooling.,"Looping conveyor-belt ocean arrow; downstream dominoes: Europe Climate, Monsoons, Fisheries, Sea Level.",https://report-2023.global-tipping-points.org/summary-report/section-1/ | https://climatetippingpoints.info/2022/09/09/climate-tipping-points-reassessment-explainer/ | https://www.pik-potsdam.de/en/news/latest-news/risk-of-passing-multiple-climate-tipping-points-escalates-above-1-5degc-global-warming
